Category,File,Shape,Bytes,column_major_huffman,column_major_mtf_huffman,column_major_burrows_mtf_huffman,row_major_mtf_huffman,row_major_burrows_mtf_huffman,snakelike_row_major_mtf_huffman,snakelike_row_major_burrows_mtf_huffman,spiral_outer_mtf_huffman,spiral_outer_burrows_mtf_huffman,hilbertcurve_mtf_huffman,hilbertcurve_burrows_mtf_huffman
classic,[2]mandrill.ppm,(3x 512x 512),786432,1.00,0.97,0.88,0.95,0.90,0.95,0.90,0.95,0.90,0.91,0.89
classic,[1]peppers.ppm,(3x 512x 512),786432,1.00,0.89,0.74,0.87,0.73,0.87,0.72,0.87,0.72,0.77,0.73
classic,[3]barbara.ppm,(3x 640x 512),983040,1.00,0.91,0.78,0.88,0.72,0.88,0.72,0.90,0.75,0.81,0.77
classic,[0]lena.ppm,(3x 512x 512),786432,1.00,0.88,0.73,0.82,0.68,0.81,0.68,0.85,0.70,0.75,0.71
digital_cam,locks.ppm,(3x 4288x 2848),36636672,1.00,0.71,0.60,0.73,0.61,0.73,0.61,0.73,0.62,0.64,0.60
digital_cam,fireworks.ppm,(3x 3024x 4032),36578304,1.00,0.65,0.51,0.66,0.52,0.66,0.52,0.66,0.52,0.55,0.52
digital_cam,sunset.ppm,(3x 4288x 2848),36636672,1.00,0.50,0.44,0.59,0.50,0.58,0.50,0.53,0.46,0.49,0.48
digital_cam,flower.ppm,(3x 4032x 3024),36578304,1.00,0.76,0.48,0.77,0.48,0.76,0.48,0.77,0.49,0.60,0.51
digital_cam,park.ppm,(3x 4032x 3024),36578304,1.00,0.57,0.51,0.61,0.53,0.61,0.53,0.58,0.53,0.54,0.53
digital_cam,flamingo.ppm,(3x 2848x 4288),36636672,1.00,0.53,0.46,0.56,0.46,0.55,0.46,0.55,0.46,0.44,0.45
digital_cam,ceiling.ppm,(3x 4288x 2848),36636672,1.00,0.80,0.59,0.86,0.62,0.85,0.62,0.81,0.59,0.70,0.61
digital_cam,berry.ppm,(3x 2848x 4288),36636672,1.00,0.72,0.55,0.73,0.55,0.73,0.56,0.73,0.57,0.62,0.56
